timestamp, frame, x, y, z, qx, qy, qz, qw
258530.480312041, 000129, -0.15095812, 0.3111214, -0.25027782, 0.9902444, -0.017172001, -0.13825715, -0.0024704628
258530.496979916, 000130, -0.15120721, 0.31024903, -0.2586905, 0.990164, -0.017388951, -0.13879846, -0.0028063897
258530.513647916, 000131, -0.15141542, 0.30926177, -0.2672848, 0.9901015, -0.01747671, -0.13922723, -0.003053895
258530.530316208, 000132, -0.15158461, 0.30816936, -0.27603438, 0.9900284, -0.01734308, -0.13976204, -0.0030902172
258530.546983958, 000133, -0.15121914, 0.30652446, -0.2849459, 0.98988813, -0.017106635, -0.1407677, -0.0036473616
258530.563651916, 000134, -0.15109795, 0.30523342, -0.29392737, 0.98971295, -0.016948152, -0.14198653, -0.0045596315
258530.580319833, 000135, -0.15103215, 0.30403614, -0.3030822, 0.98955363, -0.016763583, -0.14308436, -0.0054334356
258530.596988125, 000136, -0.15096772, 0.3028583, -0.31244075, 0.98943377, -0.016632976, -0.14388804, -0.0063492805
258530.613655875, 000137, -0.15088578, 0.3017204, -0.3219527, 0.98938364, -0.01681978, -0.14413504, -0.007885107
258530.630323916, 000138, -0.15075628, 0.30064934, -0.33151603, 0.9893521, -0.017444732, -0.14413421, -0.010167871
258530.646991875, 000139, -0.15045844, 0.2997867, -0.34016663, 0.98928726, -0.017866116, -0.14439967, -0.011845583
258530.663660125, 000140, -0.15028667, 0.29876477, -0.34950352, 0.989276, -0.017743373, -0.14448296, -0.011949744
258530.680327833, 000141, -0.15019093, 0.29769903, -0.35907915, 0.9893988, -0.016947117, -0.14375737, -0.0116884345
258530.696995791, 000142, -0.15014711, 0.29668415, -0.3687072, 0.9895901, -0.015499055, -0.14259505, -0.011738957
258530.713663708, 000143, -0.15013482, 0.29574835, -0.37827548, 0.9897275, -0.013575739, -0.14180852, -0.012062434
258530.730331875, 000144, -0.15019095, 0.29494858, -0.38780868, 0.989906, -0.011304365, -0.14071742, -0.012521122
258530.746999791, 000145, -0.1503716, 0.2944275, -0.39734438, 0.99016166, -0.009063826, -0.13898446, -0.013454295
258530.763667958, 000146, -0.15069085, 0.29429454, -0.40687335, 0.9904057, -0.007045313, -0.1372287, -0.014669709
258530.780335708, 000147, -0.15035172, 0.29445553, -0.4153687, 0.9905863, -0.0055053504, -0.13587081, -0.015735028
258530.797003958, 000148, -0.1505869, 0.29523188, -0.42455915, 0.99074614, -0.0044907224, -0.13460785, -0.016812328
258530.813671708, 000149, -0.15107907, 0.2963689, -0.43401587, 0.9908783, -0.0038423035, -0.13353144, -0.017744793
258530.830339666, 000150, -0.15174824, 0.2976387, -0.44352376, 0.99094164, -0.0033603122, -0.13305007, -0.017915547
258530.847007583, 000151, -0.15197223, 0.29919964, -0.45167413, 0.99093837, -0.0029065202, -0.13315262, -0.017408637
258530.863675583, 000152, -0.1525752, 0.30042148, -0.46040052, 0.99087405, -0.0026460742, -0.13364464, -0.017342493
258530.8803435, 000153, -0.15328136, 0.30144313, -0.4691403, 0.9907908, -0.0025206155, -0.13423483, -0.017557131
258530.89701175, 000154, -0.15404996, 0.30227256, -0.47782305, 0.9906917, -0.0021675937, -0.13503112, -0.01707842
258530.913679583, 000155, -0.15489458, 0.30289882, -0.4864667, 0.9905971, -0.0013501879, -0.1359326, -0.015420511
258530.9303475, 000156, -0.1557893, 0.30341226, -0.49505243, 0.9904896, -0.00042464217, -0.13694759, -0.013246963
258530.947015583, 000157, -0.15686975, 0.3038481, -0.50075555, 0.99038774, 0.0002258079, -0.13786407, -0.011203894
258530.9636835, 000158, -0.15795483, 0.30424446, -0.50820744, 0.9902512, 0.00068530976, -0.13897745, -0.009349854
258530.980351416, 000159, -0.15912369, 0.30461162, -0.5161716, 0.9900942, 0.0010262075, -0.14019737, -0.007556679
258530.997019541, 000160, -0.16040209, 0.30500716, -0.52431864, 0.98995864, 0.0011732753, -0.141247, -0.0054554967
